,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-04 12:15:00+05:30,44fd8a5f112940aa91dd70f06a6caa72,SELL,2,604.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,1651b20892874f7787bd991276edf00c,BUY,2,605.5,INTRADAY,MARKET,-2.0,-2.0,-0.17,-0.0,49998.0,-0.0
1,NSE_EQ:SBIN,2023-01-10 09:15:00+05:30,313890708ca1434a81cac4d401a97e7f,BUY,2,608.45,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,5a12e31621884351ade09f2bfd2f041c,SELL,2,599.75,INTRADAY,MARKET,-17.4,-19.4,-1.43,-0.04,49980.6,-0.04
2,NSE_EQ:SBIN,2023-01-10 10:15:00+05:30,4cb7336bd0c24457b23eba47298adc13,SELL,2,599.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,553beabb20ba4723b9afb7f15a1480a8,BUY,2,595.1,INTRADAY,MARKET,9.3,-10.1,0.78,-0.02,49989.9,-0.02
3,NSE_EQ:SBIN,2023-01-13 15:15:00+05:30,c3cf66a10e7f4c6f8f09c3789d5828b6,BUY,2,600.25,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,59cc33347c7f498f961cf62531658693,SELL,2,600.25,INTRADAY,MARKET,0.0,-10.1,0.0,-0.02,49989.9,-0.02
4,NSE_EQ:SBIN,2023-01-17 14:15:00+05:30,777366c9378a49408e4f9fb37420a73b,SELL,2,590.55,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,6d96e49891fc4853be459937598465df,BUY,2,592.9,INTRADAY,MARKET,-4.7,-14.8,-0.4,-0.03,49985.200000000004,-0.03
5,NSE_EQ:SBIN,2023-01-23 10:15:00+05:30,dc24d77fc1d54bed80662796bd8f9a44,BUY,2,598.7,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,77713e79b4a74969b7fa925cbf668ff7,SELL,2,600.2,INTRADAY,MARKET,3.0,-11.8,0.25,-0.02,49988.200000000004,-0.02
6,NSE_EQ:SBIN,2023-01-25 10:15:00+05:30,75493ca72d8e4fd08f4ac7dc874736a4,SELL,2,580.35,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,5d1e221834fd46dfa1565a87c6b534de,BUY,2,569.0,INTRADAY,MARKET,22.7,10.9,1.96,0.02,50010.9,0.0
7,NSE_EQ:SBIN,2023-02-06 11:15:00+05:30,c639613bdb614ce48062b26bf618ee26,BUY,2,542.75,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,0c93aed77c544987942914da6e3b7aad,SELL,2,545.9,INTRADAY,MARKET,6.3,17.2,0.58,0.03,50017.200000000004,0.0
8,NSE_EQ:SBIN,2023-02-13 11:15:00+05:30,f26a915cdb094957a0cda4ded9f8ca74,SELL,2,535.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,695a23402f8649e0973464679749cc26,BUY,2,537.55,INTRADAY,MARKET,-3.2,14.0,-0.3,0.03,50014.00000000001,-0.01
9,NSE_EQ:SBIN,2023-02-16 13:15:00+05:30,d26b3d299dd443a5a8ac28dcac507361,BUY,2,542.3,INTRADAY,MARKET,2023-02-16 15:15:00+05:30,f1b0d404352f41d897a00e73d70cc055,SELL,2,540.35,INTRADAY,MARKET,-3.9,10.1,-0.36,0.02,50010.100000000006,-0.01
10,NSE_EQ:SBIN,2023-02-16 15:15:00+05:30,ea12400121324ba4b8ba4b59d00cdb75,SELL,2,540.35,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,50cf5b3bad114806b0a796a28850ec85,BUY,2,540.35,INTRADAY,MARKET,-0.0,10.1,-0.0,0.02,50010.100000000006,-0.01
11,NSE_EQ:SBIN,2023-02-27 12:15:00+05:30,082f3da7c6264b428d80aef15a6d79dc,BUY,2,525.1,INTRADAY,MARKET,2023-02-27 15:30:00+05:30,c34982d04eb8470b8fa19192b756c719,SELL,2,527.75,INTRADAY,MARKET,5.3,15.4,0.5,0.03,50015.40000000001,-0.0
