,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ICICIBANK,2023-01-02 10:15:00+05:30,adf8890185f947d2aef779c45a1bab73,SELL,2,903.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,0e321052c76b4fb3880751e9b63b439d,BUY,2,902.3,INTRADAY,MARKET,1.9,1.9,0.11,0.0,50001.9,0.0
1,NSE_EQ:ICICIBANK,2023-01-03 12:15:00+05:30,1eed303937324fc88f5998e726580c4a,BUY,2,899.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,d15676212fca49818bcca38d8d974e2b,SELL,2,902.3,INTRADAY,MARKET,6.6,8.5,0.37,0.02,50008.5,0.0
2,NSE_EQ:ICICIBANK,2023-01-03 15:15:00+05:30,86cf5c998897488791ae41c8e343d5ac,SELL,2,902.3,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,777099401cb34ae2b1a01d7646eeb2d4,BUY,2,902.3,INTRADAY,MARKET,-0.0,8.5,-0.0,0.02,50008.5,0.0
3,NSE_EQ:ICICIBANK,2023-01-04 11:15:00+05:30,6a713d8dc20240f8aced45f8f889974b,BUY,2,898.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,6edaa4a6ba3d419e8484699e06c4df3e,SELL,2,899.6,INTRADAY,MARKET,1.7,10.2,0.09,0.02,50010.2,0.0
4,NSE_EQ:ICICIBANK,2023-01-04 15:15:00+05:30,773f5c7bc2074ceda96ea8330c57411c,SELL,2,899.6,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,4ddbf37c87fd48089328a29bfa0bf8d3,BUY,2,899.6,INTRADAY,MARKET,-0.0,10.2,-0.0,0.02,50010.2,0.0
5,NSE_EQ:ICICIBANK,2023-01-05 09:15:00+05:30,c6cd726aad7f4a4480ab7b257eafa104,BUY,2,900.9,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,d75bea965b2448a792f3310cce6048b6,SELL,2,880.0,INTRADAY,MARKET,-41.8,-31.6,-2.32,-0.06,49968.399999999994,-0.08
6,NSE_EQ:ICICIBANK,2023-01-09 10:15:00+05:30,1f4a9b75f34a45c28ab466314053083f,SELL,2,873.35,INTRADAY,MARKET,2023-01-09 14:15:00+05:30,92604bc479444f3c872719ce4ef872bd,BUY,2,870.1,INTRADAY,MARKET,6.5,-25.1,0.37,-0.05,49974.899999999994,-0.07
7,NSE_EQ:ICICIBANK,2023-01-09 14:15:00+05:30,d8f09fcd1fd14378be1a18d37c380e7d,BUY,2,870.1,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,d9e0ae5c81db4b4fbe115e169ea48c6e,SELL,2,875.05,INTRADAY,MARKET,9.9,-15.2,0.57,-0.03,49984.799999999996,-0.05
8,NSE_EQ:ICICIBANK,2023-01-09 15:15:00+05:30,06d9d003545c4154a6ee2d96cd228547,SELL,2,875.05,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,2c1ae4f5cc9846aca7df61656bf33860,BUY,2,875.05,INTRADAY,MARKET,-0.0,-15.2,-0.0,-0.03,49984.799999999996,-0.05
9,NSE_EQ:ICICIBANK,2023-01-10 10:15:00+05:30,38364b2f0a12473f8be5e0f2b347bb0e,BUY,2,868.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,23f37e14811c4ae78cef180a0e895922,SELL,2,861.9,INTRADAY,MARKET,-13.7,-28.9,-0.79,-0.06,49971.1,-0.08
10,NSE_EQ:ICICIBANK,2023-01-11 12:15:00+05:30,be7982cf3e4542a5b4e0d1cac2bce35f,SELL,2,865.6,INTRADAY,MARKET,2023-01-11 14:15:00+05:30,24314d89bc6e41c99d08625a9bb655f3,BUY,2,862.4,INTRADAY,MARKET,6.4,-22.5,0.37,-0.04,49977.5,-0.07
11,NSE_EQ:ICICIBANK,2023-01-11 14:15:00+05:30,824a2fb381f14d959635dd6a0529664a,BUY,2,862.4,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,029ced021a804c9eb625f92ea171fc33,SELL,2,867.0,INTRADAY,MARKET,9.2,-13.3,0.53,-0.03,49986.7,-0.05
12,NSE_EQ:ICICIBANK,2023-01-11 15:15:00+05:30,48bc3fb172db49bebdaa2cd65e2f8b24,SELL,2,867.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,c81bc38dc7ba49cd8c6e07598da1c727,BUY,2,867.0,INTRADAY,MARKET,-0.0,-13.3,-0.0,-0.03,49986.7,-0.05
13,NSE_EQ:ICICIBANK,2023-01-12 10:15:00+05:30,3d1ee73f4cbf4e5ea4193904b9489fad,BUY,2,859.6,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,761a991cd96647ad9a6c618d1dc28c41,SELL,2,860.6,INTRADAY,MARKET,2.0,-11.3,0.12,-0.02,49988.7,-0.04
14,NSE_EQ:ICICIBANK,2023-01-13 09:15:00+05:30,799daebf82a847ec96db122753d56a16,SELL,2,864.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,0498e7fc6b7f4409949d29a06bab9dbe,BUY,2,873.9,INTRADAY,MARKET,-18.4,-29.7,-1.06,-0.06,49970.299999999996,-0.08
15,NSE_EQ:ICICIBANK,2023-01-16 12:15:00+05:30,d2478bcb8505400390d6bbfb3b19a6d7,BUY,2,868.45,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,b40cb44a49ec45fd8cb1eff0514ea288,SELL,2,865.35,INTRADAY,MARKET,-6.2,-35.9,-0.36,-0.07,49964.1,-0.09
16,NSE_EQ:ICICIBANK,2023-01-17 15:15:00+05:30,58754a0973034eedb128fc3ffcd35337,SELL,2,866.0,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,eaaf3e905eb64cb3bc021280c591057d,BUY,2,866.0,INTRADAY,MARKET,-0.0,-35.9,-0.0,-0.07,49964.1,-0.09
17,NSE_EQ:ICICIBANK,2023-01-18 10:15:00+05:30,de05ddedaa3e42d7b787ab223cc70506,BUY,2,862.35,INTRADAY,MARKET,2023-01-18 11:15:00+05:30,692ca9205c5e4079bba6ecb9ddbe6654,SELL,2,866.5,INTRADAY,MARKET,8.3,-27.6,0.48,-0.06,49972.4,-0.08
