,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-04 12:15:00+05:30,81b58333fe68434fba9f3acc2fa21155,SELL,2,604.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,388ae4af00d74802835949f7369aaad9,BUY,2,605.5,INTRADAY,MARKET,-2.0,-2.0,-0.17,-0.0,49998.0,-0.0
1,NSE_EQ:SBIN,2023-01-10 09:15:00+05:30,7b139052a5e343038abae9c6fed210a2,BUY,2,608.45,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,89e06adec651409a983d54d71149c378,SELL,2,599.75,INTRADAY,MARKET,-17.4,-19.4,-1.43,-0.04,49980.6,-0.04
2,NSE_EQ:SBIN,2023-01-10 10:15:00+05:30,7a4612e353854139b7bc3b4b372b6907,SELL,2,599.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,d78e7eb02b0641ed96aa90253f582180,BUY,2,595.1,INTRADAY,MARKET,9.3,-10.1,0.78,-0.02,49989.9,-0.02
3,NSE_EQ:SBIN,2023-01-13 15:15:00+05:30,70522f0c3ea142b181926557a985fbcd,BUY,2,600.25,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,abd5d6f37d9d473a8afc8c4206049145,SELL,2,600.25,INTRADAY,MARKET,0.0,-10.1,0.0,-0.02,49989.9,-0.02
4,NSE_EQ:SBIN,2023-01-17 14:15:00+05:30,4db7c41161074293b0ef532b779dea14,SELL,2,590.55,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,efba8fad9e734d14b8eb515432b0e2ae,BUY,2,592.9,INTRADAY,MARKET,-4.7,-14.8,-0.4,-0.03,49985.200000000004,-0.03
5,NSE_EQ:SBIN,2023-01-23 10:15:00+05:30,0a56276c78864883a97a41a5d21befdf,BUY,2,598.7,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,34c670d8966544eeab555576404e3914,SELL,2,600.2,INTRADAY,MARKET,3.0,-11.8,0.25,-0.02,49988.200000000004,-0.02
6,NSE_EQ:SBIN,2023-01-25 10:15:00+05:30,88f45e96a7944d8d827f87ce5c67f660,SELL,2,580.35,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,1430f07346e44f3d873bec9bd77dcdb5,BUY,2,569.0,INTRADAY,MARKET,22.7,10.9,1.96,0.02,50010.9,0.0
7,NSE_EQ:SBIN,2023-02-06 11:15:00+05:30,1f6ac5619ec04497a1eabd365108c0ed,BUY,2,542.75,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,109ef372e4cb49b2b7633fc2a310d5d7,SELL,2,545.9,INTRADAY,MARKET,6.3,17.2,0.58,0.03,50017.200000000004,0.0
8,NSE_EQ:SBIN,2023-02-13 11:15:00+05:30,99827e48b1d04fde8c9731955c30e6e0,SELL,2,535.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,b1cae25c6fb348eb9544b99cbacaf971,BUY,2,537.55,INTRADAY,MARKET,-3.2,14.0,-0.3,0.03,50014.00000000001,-0.01
9,NSE_EQ:SBIN,2023-02-16 13:15:00+05:30,39e6996fc1004f2db1bd959742bb17f6,BUY,2,542.3,INTRADAY,MARKET,2023-02-16 15:15:00+05:30,ffa44519ac2146a7ac23638fd00d6dcc,SELL,2,540.35,INTRADAY,MARKET,-3.9,10.1,-0.36,0.02,50010.100000000006,-0.01
10,NSE_EQ:SBIN,2023-02-16 15:15:00+05:30,7b2b9c05285b4f43b980a7972c34cd2d,SELL,2,540.35,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,db6ae91533ca4a3fad379439f29f4d34,BUY,2,540.35,INTRADAY,MARKET,-0.0,10.1,-0.0,0.02,50010.100000000006,-0.01
11,NSE_EQ:SBIN,2023-02-27 12:15:00+05:30,dd01de5d5bbe4abdac0a1392a710a5fd,BUY,2,525.1,INTRADAY,MARKET,2023-02-27 15:30:00+05:30,12df6ff215464bb49788458ae2375b59,SELL,2,527.75,INTRADAY,MARKET,5.3,15.4,0.5,0.03,50015.40000000001,-0.0
