,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ADANIPORTS,2023-01-01 09:15:00+05:30,88a033994f81437983a75b1eacf4edc2,BUY,2,819.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,0a994e0b06b242e6aed829b319d4ccbb,SELL,2,819.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:ADANIPORTS,2023-01-02 09:15:00+05:30,c5c59362e2d547d1b6d3a96f0466ab37,BUY,2,823.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,69869868190f4ec3b6bf5ee966f4b596,SELL,2,822.7,INTRADAY,MARKET,-0.6,-0.6,-0.04,-0.0,49999.4,-0.0
2,NSE_EQ:ADANIPORTS,2023-01-03 11:15:00+05:30,1eee5d5f071d46febbde9e09909c031d,SELL,2,823.9,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,8e5774dfdd3a42c7b0c77688dfce7b39,BUY,2,820.4,INTRADAY,MARKET,7.0,6.4,0.42,0.01,50006.4,0.0
3,NSE_EQ:ADANIPORTS,2023-01-04 13:15:00+05:30,9b2b951427ff4242bccfce1945503eaa,BUY,2,815.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,8d1e87710e224b7aa3151e1fcea144a2,SELL,2,811.6,INTRADAY,MARKET,-6.8,-0.4,-0.42,-0.0,49999.6,-0.01
4,NSE_EQ:ADANIPORTS,2023-01-05 11:15:00+05:30,f8d09d916a0549828572253583d26c63,BUY,2,812.15,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,e3470c78d2194059bfcc81478f35d6f0,SELL,2,820.6,INTRADAY,MARKET,16.9,16.5,1.04,0.03,50016.5,0.0
5,NSE_EQ:ADANIPORTS,2023-01-06 09:15:00+05:30,6194ccd8fb8f4346a9e41f1d74898f25,SELL,2,819.9,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,9b4bc79be3604215bbd1d83fa323caa4,BUY,2,806.0,INTRADAY,MARKET,27.8,44.3,1.7,0.09,50044.3,0.0
6,NSE_EQ:ADANIPORTS,2023-01-10 09:15:00+05:30,823f42d8357947e09124344179c1e0c6,BUY,2,817.0,INTRADAY,MARKET,2023-01-10 12:15:00+05:30,bd7c9c325448406fa089e327499d9f02,SELL,2,808.75,INTRADAY,MARKET,-16.5,27.8,-1.01,0.06,50027.8,-0.03
7,NSE_EQ:ADANIPORTS,2023-01-10 12:15:00+05:30,99e3b307d94148b8948cfe07ff3b6973,SELL,2,808.75,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,a2d70e062a1a43a184552977a2e7f200,BUY,2,796.6,INTRADAY,MARKET,24.3,52.1,1.5,0.1,50052.100000000006,0.0
8,NSE_EQ:ADANIPORTS,2023-01-10 15:15:00+05:30,66bcbbfb8b474835984090ceb2a20b7e,BUY,2,796.6,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,eb50a0cf24a84899a541b04e96bb1db7,SELL,2,796.6,INTRADAY,MARKET,0.0,52.1,0.0,0.1,50052.100000000006,0.0
9,NSE_EQ:ADANIPORTS,2023-01-11 12:15:00+05:30,5f2b70dbe01746969a5474d75515d450,SELL,2,794.0,INTRADAY,MARKET,2023-01-11 13:15:00+05:30,e18a40457ea74713818d05398b4245a1,BUY,2,796.5,INTRADAY,MARKET,-5.0,47.1,-0.31,0.09,50047.100000000006,-0.01
