,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ICICIBANK,2023-01-02 10:15:00+05:30,ec48a57631df4498bc6dc424f02c8be9,SELL,2,903.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,653c91bf71b9438da9b2434ac751e8d6,BUY,2,902.3,INTRADAY,MARKET,1.9,1.9,0.11,0.0,50001.9,0.0
1,NSE_EQ:ICICIBANK,2023-01-03 12:15:00+05:30,c2df886a210244b293d3eed1c9858c9d,BUY,2,899.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,9be86e0a940b4d0d8e68831411bdb7bc,SELL,2,902.3,INTRADAY,MARKET,6.6,8.5,0.37,0.02,50008.5,0.0
2,NSE_EQ:ICICIBANK,2023-01-03 15:15:00+05:30,bad294c697b14e08af91bc2eca4cbc0c,SELL,2,902.3,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,e982297927c44038b1f5da26ba70799d,BUY,2,902.3,INTRADAY,MARKET,-0.0,8.5,-0.0,0.02,50008.5,0.0
3,NSE_EQ:ICICIBANK,2023-01-04 11:15:00+05:30,d5f86729509f47a78e95edbc17644fbf,BUY,2,898.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,f878563212e144aa9548e40e93219f20,SELL,2,899.6,INTRADAY,MARKET,1.7,10.2,0.09,0.02,50010.2,0.0
4,NSE_EQ:ICICIBANK,2023-01-04 15:15:00+05:30,34beb9949b0642e4ba64488e7f883805,SELL,2,899.6,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,a442a2bfe5e248c385e7c1cdb3499eb1,BUY,2,899.6,INTRADAY,MARKET,-0.0,10.2,-0.0,0.02,50010.2,0.0
5,NSE_EQ:ICICIBANK,2023-01-05 09:15:00+05:30,a37100f0a7a44d1bbac50bdb240399b0,BUY,2,900.9,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,65d321d581c34d67b109fcb069505bd0,SELL,2,880.0,INTRADAY,MARKET,-41.8,-31.6,-2.32,-0.06,49968.399999999994,-0.08
6,NSE_EQ:ICICIBANK,2023-01-09 10:15:00+05:30,ed29e8a5c0b644ada57a7755b6a52702,SELL,2,873.35,INTRADAY,MARKET,2023-01-09 14:15:00+05:30,ba0bb15533e543e4929f8d16b5b72114,BUY,2,870.1,INTRADAY,MARKET,6.5,-25.1,0.37,-0.05,49974.899999999994,-0.07
7,NSE_EQ:ICICIBANK,2023-01-09 14:15:00+05:30,926c8ba72d324972ac5b939a6ad9f35e,BUY,2,870.1,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,86803c6b9fe749798fa2d7a41c9df372,SELL,2,875.05,INTRADAY,MARKET,9.9,-15.2,0.57,-0.03,49984.799999999996,-0.05
8,NSE_EQ:ICICIBANK,2023-01-09 15:15:00+05:30,e5446b7d15a24fa1b8e437f716fa7ffa,SELL,2,875.05,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,f748cf0db5a448f282dc795dfc45d58e,BUY,2,875.05,INTRADAY,MARKET,-0.0,-15.2,-0.0,-0.03,49984.799999999996,-0.05
9,NSE_EQ:ICICIBANK,2023-01-10 10:15:00+05:30,d99746700bd3492fa2a4d3e7b6e60faf,BUY,2,868.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,35618bf9826a4bf891321a2a6c613170,SELL,2,861.9,INTRADAY,MARKET,-13.7,-28.9,-0.79,-0.06,49971.1,-0.08
10,NSE_EQ:ICICIBANK,2023-01-11 12:15:00+05:30,df1c9a57490748198ac73ec8de2681b8,SELL,2,865.6,INTRADAY,MARKET,2023-01-11 14:15:00+05:30,09473be933ae44348c06d2d73a9851f3,BUY,2,862.4,INTRADAY,MARKET,6.4,-22.5,0.37,-0.04,49977.5,-0.07
11,NSE_EQ:ICICIBANK,2023-01-11 14:15:00+05:30,6f36c7616e7e4d598449778a61049dd0,BUY,2,862.4,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,3a475ca748504aeb946b8e0161ef7592,SELL,2,867.0,INTRADAY,MARKET,9.2,-13.3,0.53,-0.03,49986.7,-0.05
12,NSE_EQ:ICICIBANK,2023-01-11 15:15:00+05:30,e0c77c22e1184c059a5e5dff3fe7a6e1,SELL,2,867.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,f033f53cdf294778b914cd730ac391aa,BUY,2,867.0,INTRADAY,MARKET,-0.0,-13.3,-0.0,-0.03,49986.7,-0.05
13,NSE_EQ:ICICIBANK,2023-01-12 10:15:00+05:30,7ee0af13972042589f908b329e61e369,BUY,2,859.6,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,1f711d363449478083ce6245469b1a23,SELL,2,860.6,INTRADAY,MARKET,2.0,-11.3,0.12,-0.02,49988.7,-0.04
