,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ADANIPORTS,2023-01-01 09:15:00+05:30,e56c51f4f0424785a430cee188ea9c80,BUY,2,819.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,0133900cec024ebb9c94929c25e20468,SELL,2,819.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:ADANIPORTS,2023-01-02 09:15:00+05:30,6e2b52699872491b9aa2a70b1eda89df,BUY,2,823.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,3b2d87eec9c049ffa545de4982173856,SELL,2,822.7,INTRADAY,MARKET,-0.6,-0.6,-0.04,-0.0,49999.4,-0.0
2,NSE_EQ:ADANIPORTS,2023-01-03 11:15:00+05:30,c22d4ebd6bfa4a52be95a904fc9ff824,SELL,2,823.9,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,ab3e7d1f77464b68a67ab83cc99beee7,BUY,2,820.4,INTRADAY,MARKET,7.0,6.4,0.42,0.01,50006.4,0.0
3,NSE_EQ:ADANIPORTS,2023-01-04 13:15:00+05:30,ef7bb4c406e84c38b02ad3e2ee975c83,BUY,2,815.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,598a907c49534adbbb6a7a120491f141,SELL,2,811.6,INTRADAY,MARKET,-6.8,-0.4,-0.42,-0.0,49999.6,-0.01
4,NSE_EQ:ADANIPORTS,2023-01-05 11:15:00+05:30,414ad03f8d75467f873b7c1ae9e76e6b,BUY,2,812.15,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,1924d14b5cb54dcebdf44db7981b342d,SELL,2,820.6,INTRADAY,MARKET,16.9,16.5,1.04,0.03,50016.5,0.0
5,NSE_EQ:ADANIPORTS,2023-01-06 09:15:00+05:30,b6b3fc43bd8e4fdcac2afb7ab10086ea,SELL,2,819.9,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,cfbf11ffe15e488ca4cda5bab5a5efc2,BUY,2,806.0,INTRADAY,MARKET,27.8,44.3,1.7,0.09,50044.3,0.0
6,NSE_EQ:ADANIPORTS,2023-01-10 09:15:00+05:30,195168914fb5495589ba206acde6f256,BUY,2,817.0,INTRADAY,MARKET,2023-01-10 12:15:00+05:30,0ecd8e30c2c4408b8956fd6fe39d4e28,SELL,2,808.75,INTRADAY,MARKET,-16.5,27.8,-1.01,0.06,50027.8,-0.03
7,NSE_EQ:ADANIPORTS,2023-01-10 12:15:00+05:30,fb6a283d6fa341a8aab7c2327316d59f,SELL,2,808.75,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,0dfe61f97e4644c8b5ec7c6d9bbd2907,BUY,2,796.6,INTRADAY,MARKET,24.3,52.1,1.5,0.1,50052.100000000006,0.0
8,NSE_EQ:ADANIPORTS,2023-01-10 15:15:00+05:30,92a016dc7204437190c920e3ae9094a0,BUY,2,796.6,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,2662a94fbdaf49a1a1c1d66e78d35a64,SELL,2,796.6,INTRADAY,MARKET,0.0,52.1,0.0,0.1,50052.100000000006,0.0
9,NSE_EQ:ADANIPORTS,2023-01-11 12:15:00+05:30,62c7f22b76a24fd7931b9564cd92b9d0,SELL,2,794.0,INTRADAY,MARKET,2023-01-11 13:15:00+05:30,995c5804df9d47278ca25d1c1542ccac,BUY,2,796.5,INTRADAY,MARKET,-5.0,47.1,-0.31,0.09,50047.100000000006,-0.01
10,NSE_EQ:ADANIPORTS,2023-01-11 13:15:00+05:30,f2acf3b2ba2d4a57a14db34105ba981e,BUY,2,796.5,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,ad7b184dabf6419b87e65e490442ab07,SELL,2,796.25,INTRADAY,MARKET,-0.5,46.6,-0.03,0.09,50046.600000000006,-0.01
