,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100PE [LOCAL],2023-01-01 09:20:00+05:30,7c7b0818e57b450f9cfcb0ff57ea11e7,BUY,50,81.4,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,1a28e7d317f345209c1ad182ec090438,SELL,50,81.4,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,83414b8e7cbe41e6ab28b41d6b69aa40,BUY,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,0f735a80c2f04a348c5121897293f838,SELL,50,129.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,dad43d4399584fa28e0ddac7cefa4d18,SELL,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,33bed1f5a93f473e96f44b9740c66bf8,BUY,50,129.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-02 09:15:00+05:30,3bf781d0439a4c0f8e622ae8d03bc916,BUY,50,104.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,90dadb2eff1d4f4eaaba5308722697db,SELL,50,67.25,INTRADAY,MARKET,-1840.0,-1840.0,-35.37,-3.68,48160.0,-3.68
4,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,73a7f30bb00a4b0a8fa6101d3142e295,BUY,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,be6a8a7751024a04a46961d3280378ff,SELL,50,115.2,INTRADAY,MARKET,-2240.0,-4080.0,-28.0,-8.16,45920.0,-8.16
5,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,525e210c27ed49579b1bb840e0c716cc,SELL,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,77d12ae1e1e146b9ab7f105559a8bef9,BUY,50,115.2,INTRADAY,MARKET,2240.0,-1840.0,28.0,-3.68,48160.0,-3.68
6,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-03 09:15:00+05:30,22e1a49c4af24cf4b306035c488ac702,BUY,50,79.85,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,2c6f8ae50c4c49b286e39d28f578e568,SELL,50,31.35,INTRADAY,MARKET,-2425.0,-4265.0,-60.74,-8.53,45735.0,-8.53
7,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,00ec5cdfb5254084871c0a4a62245146,BUY,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,32efb51f1bcb4cf3abc99b3703b8925f,SELL,50,65.8,INTRADAY,MARKET,-2460.0,-6725.0,-42.78,-13.45,43275.0,-13.45
8,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,61ed60e1121e4cda92eea489bf99e5d9,SELL,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,f98826e910bd4fc5bd4d9d1a55d5fa66,BUY,50,65.8,INTRADAY,MARKET,2460.0,-4265.0,42.78,-8.53,45735.0,-8.53
9,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-04 09:15:00+05:30,66946e9b3a3647e7b51a5951a55380e0,BUY,50,89.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,2d00415377434331b308da14705eed9f,SELL,50,199.5,INTRADAY,MARKET,5477.5,1212.5,121.79,2.43,51212.5,0.0
10,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,9547ecf68438451ea84fe57b93fe5be1,BUY,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,bc93e182fec74b48b762bbefc217f409,SELL,50,294.45,INTRADAY,MARKET,7725.0,8937.5,110.4,17.88,58937.5,0.0
11,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,1c68523bcce64b09af7b747e011e61c1,SELL,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,31a4170f9c7c4d5490e728e452808ca1,BUY,50,294.45,INTRADAY,MARKET,-7725.0,1212.5,-110.4,2.43,51212.5,-13.11
