,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:CDSL,2023-01-04 10:15:00+05:30,9a25cccfc6494197b1c8e49ffa777f54,SELL,2,1139.55,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,50ba546bb2e24ca28065b0548b9d95c7,BUY,2,1133.95,INTRADAY,MARKET,11.2,11.2,0.49,0.02,50011.2,0.0
1,NSE_EQ:CDSL,2023-01-11 14:15:00+05:30,1e06eddcc30145259fedbd215a8ab34d,BUY,2,1098.45,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,3b8c5c7c03f842f0a54ef0a66171e827,SELL,2,1096.85,INTRADAY,MARKET,-3.2,8.0,-0.15,0.02,50008.0,-0.01
2,NSE_EQ:CDSL,2023-01-12 10:15:00+05:30,13ec7d19c8044d0bb869115a7204959c,SELL,2,1083.55,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,f637ec756fcc4f5a846fa25f90fdfa5f,BUY,2,1078.05,INTRADAY,MARKET,11.0,19.0,0.51,0.04,50019.0,0.0
3,NSE_EQ:CDSL,2023-01-13 13:15:00+05:30,e231e7672abd488795f154d4d79fff6b,BUY,2,1079.0,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,3979694f5ee045c3b28da699ecc8e516,SELL,2,1077.5,INTRADAY,MARKET,-3.0,16.0,-0.14,0.03,50016.0,-0.01
4,NSE_EQ:CDSL,2023-01-17 10:15:00+05:30,8f6cef5887e04eb7bcfaaf2c68fa2834,SELL,2,1062.9,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,b7188cdea9de4edba6577b08edd47b9c,BUY,2,1062.1,INTRADAY,MARKET,1.6,17.6,0.08,0.04,50017.6,-0.0
5,NSE_EQ:CDSL,2023-01-18 10:15:00+05:30,a54574e618e04ebe8d985da523ed902d,BUY,2,1062.65,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,daeeb9bfa235450ca2ab2394bce7bde8,SELL,2,1057.0,INTRADAY,MARKET,-11.3,6.3,-0.53,0.01,50006.299999999996,-0.03
6,NSE_EQ:CDSL,2023-01-24 12:15:00+05:30,71d127ac68a249b0b8c1d6f1d34a174a,SELL,2,1051.0,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,96bb7f44e49748c1bb20aa6c684e7133,BUY,2,1047.6,INTRADAY,MARKET,6.8,13.1,0.32,0.03,50013.1,-0.01
7,NSE_EQ:CDSL,2023-01-30 11:15:00+05:30,51c1f981b28b4069b1e0c6d16ae677dd,BUY,2,1017.35,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,1a6c8ca6d6b849b8befd87fe98c90602,SELL,2,1017.7,INTRADAY,MARKET,0.7,13.8,0.03,0.03,50013.799999999996,-0.01
8,NSE_EQ:CDSL,2023-02-02 09:15:00+05:30,7db79b2e0e664d7ca0ab8bdc09367b36,SELL,2,999.9,INTRADAY,MARKET,2023-02-02 15:30:00+05:30,e23367fa3c2041e58b2b8865386169de,BUY,2,1010.85,INTRADAY,MARKET,-21.9,-8.1,-1.1,-0.02,49991.899999999994,-0.05
9,NSE_EQ:CDSL,2023-02-06 12:15:00+05:30,a41f3a304a0245bb92de124261915d7b,BUY,2,1012.65,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,343ce30830964eb5b9e2e47a08cbf1a0,SELL,2,1010.9,INTRADAY,MARKET,-3.5,-11.6,-0.17,-0.02,49988.399999999994,-0.06
10,NSE_EQ:CDSL,2023-02-07 12:15:00+05:30,a12f08c9412643c2a28f120786ddd06a,SELL,2,1002.4,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,e7d509442c924fa680b2646714309180,BUY,2,1002.5,INTRADAY,MARKET,-0.2,-11.8,-0.01,-0.02,49988.2,-0.06
11,NSE_EQ:CDSL,2023-02-09 15:15:00+05:30,b78e06b63b0b48968a03190fcd9f52b4,BUY,2,1000.4,INTRADAY,MARKET,2023-02-09 15:30:00+05:30,40fb2a0956b2453cbe76577118b30fb3,SELL,2,1000.4,INTRADAY,MARKET,0.0,-11.8,0.0,-0.02,49988.2,-0.06
